ticker,Date,vader_score,n_headlines,finbert_score
TSLA,2022-10-20,0.0146583365,12,-0.21643424
TSLA,2022-10-21,0.046558335,12,0.02815036
TSLA,2022-10-22,0.2557,2,-0.40828627
TSLA,2022-10-23,-0.130575,4,-0.2304804
TSLA,2022-10-24,0.08144166,12,-0.0487487
TSLA,2022-10-25,0.13385834,12,0.027702684
TSLA,2022-10-26,-0.0025454543,11,-0.03633378
TSLA,2022-10-27,-0.106875,12,-0.21794884
TSLA,2022-10-28,0.17026667,12,0.15097912
TSLA,2022-10-29,0.056575,4,0.18713853
TSLA,2022-10-30,-0.0040833354,6,-0.11452275
TSLA,2022-10-31,0.18493634,11,-0.07721705
TSLA,2022-11-01,0.03142,10,0.06254313
TSLA,2022-11-02,0.22842501,12,0.120499335
TSLA,2022-11-03,0.05105455,11,-0.17286108
TSLA,2022-11-04,0.08934444,9,0.18548028
TSLA,2022-11-05,0.13875,4,0.037249833
TSLA,2022-11-06,-0.19975,2,-0.41951773
TSLA,2022-11-07,0.17050834,12,-0.07923492
TSLA,2022-11-08,0.15605834,12,-0.05585989
TSLA,2022-11-09,0.158675,12,-0.25038755
TSLA,2022-11-10,-0.026141664,12,-0.10549945
TSLA,2022-11-11,0.027508335,12,0.056110103
TSLA,2022-11-12,0.152875,4,0.09521721
TSLA,2022-11-13,-0.24503332,3,0.3710331
TSLA,2022-11-14,-0.079900004,12,-0.39445662
TSLA,2022-11-15,0.0282,12,-0.2936328
TSLA,2022-11-16,-0.175225,12,-0.099868484
TSLA,2022-11-17,-0.032549992,12,-0.26281184
TSLA,2022-11-18,0.063533336,12,-0.3758441
TSLA,2022-11-19,0.3818,1,-0.91299915
TSLA,2022-11-20,-0.175075,4,0.24573106
TSLA,2022-11-21,0.031100003,12,-0.28687218
TSLA,2022-11-22,0.312825,12,0.16447686
TSLA,2022-11-23,0.21090834,12,-0.11522672
TSLA,2022-11-24,0.0,2,-0.93683046
TSLA,2022-11-25,0.1793125,8,-0.16119054
TSLA,2022-11-26,-0.2202,2,0.04236412
TSLA,2022-11-28,-0.019241668,12,-0.13532129
TSLA,2022-11-29,0.12000833,12,0.06980862
TSLA,2022-11-30,0.125175,12,0.09912976
TSLA,2022-12-01,0.16665833,12,-0.08428138
TSLA,2022-12-02,0.1735,8,0.035000138
TSLA,2022-12-03,0.017800003,4,-0.20715481
TSLA,2022-12-04,0.31845,2,-0.048801705
TSLA,2022-12-05,0.0032416668,12,-0.29726848
TSLA,2022-12-06,0.117718175,11,-0.010891441
TSLA,2022-12-07,0.041725,12,-0.037065268
TSLA,2022-12-08,0.03635,12,-0.18108666
TSLA,2022-12-09,-0.08361667,12,-0.11430836
TSLA,2022-12-10,0.310225,4,-0.00016179681
TSLA,2022-12-11,0.0,2,0.028394297
TSLA,2022-12-12,0.16289999,11,-0.02025658
TSLA,2022-12-13,0.06309,10,0.07980083
TSLA,2022-12-14,0.20534165,12,-0.029360896
TSLA,2022-12-15,0.12790833,12,-0.20135635
TSLA,2022-12-16,0.20708334,12,-0.06458927
TSLA,2022-12-17,0.0,2,0.0032670852
TSLA,2022-12-18,0.375675,4,-0.07350387
TSLA,2022-12-19,0.0054000025,12,-0.24120216
TSLA,2022-12-20,0.061725,12,0.0567558
TSLA,2022-12-21,0.045591667,12,-0.18461704
TSLA,2022-12-22,-0.035366666,12,-0.1531149
TSLA,2022-12-23,0.218675,12,-0.12937257
TSLA,2022-12-24,0.043766666,6,-0.10681359
TSLA,2022-12-25,0.16309999,2,-0.46445778
TSLA,2022-12-26,-0.16610001,3,-0.21819389
TSLA,2022-12-27,0.0073583326,12,-0.116419524
TSLA,2022-12-28,-0.054383337,12,-0.13917027
TSLA,2022-12-29,0.220275,12,-0.2397747
TSLA,2022-12-30,-0.062458336,12,-0.29846048
TSLA,2022-12-31,-0.023425002,4,-0.16460611
TSLA,2023-01-01,0.0,1,-0.034102783
TSLA,2023-01-02,0.056374997,12,-0.030151768
TSLA,2023-01-03,-0.042891666,12,-0.014179274
TSLA,2023-01-04,0.086733334,12,-0.22983389
TSLA,2023-01-05,-0.018533336,12,-0.20259744
TSLA,2023-01-06,0.06403332,12,0.070324816
TSLA,2023-01-07,-0.035099983,2,-0.19229731
TSLA,2023-01-08,-0.23302498,4,-0.28747284
TSLA,2023-01-09,0.20583333,12,0.20532058
TSLA,2023-01-10,0.067041665,12,-0.036698047
TSLA,2023-01-11,0.06871667,12,0.015659807
TSLA,2023-01-12,-0.0059583336,12,-0.19001968
